filename,genre,id,title,author,year,subjects,locc,source_url
nonfiction\52106_The_origin_and_development_of_the_moral_ideas.txt,nonfiction,52106,The origin and development of the moral ideas,"Westermarck, Edward, 1862-1939",2016,Ethics; Prehistoric peoples; Ethics -- History,BJ,https://www.gutenberg.org/ebooks/52106
nonfiction\27558_The_2003_CIA_World_Factbook.txt,nonfiction,27558,The 2003 CIA World Factbook,United States. Central Intelligence Agency,2008,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,https://www.gutenberg.org/ebooks/27558
nonfiction\2464_History_of_Florence_and_of_the_Affairs_of_Italy_F.txt,nonfiction,2464,"History of Florence and of the Affairs of Italy
From the Earliest Times to the Death of Lorenzo the Magnificent","Machiavelli, NiccolÃ², 1469-1527",2006,Florence (Italy) -- History; Italy -- Politics and government; Italy -- History -- 476-1492,DG,https://www.gutenberg.org/ebooks/2464
nonfiction\58031_Report_of_the_Presidents_Commission_on_the_Assassi.txt,nonfiction,58031,Report of the President's Commission on the Assassination of President John F. Kennedy,United States. Warren Commission,2018,"Kennedy, John F. (John Fitzgerald), 1917-1963 -- Assassination; Oswald, Lee Harvey",E740,https://www.gutenberg.org/ebooks/58031
nonfiction\27827_The_Kama_Sutra_of_Vatsyayana_Translated_From_the.txt,nonfiction,27827,"The Kama Sutra of Vatsyayana
Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks","Vatsyayana; Bhide, Shivaram Parashuram [Translator]; Burton, Richard Francis, Sir, 1821-1890 [Translator]; Indrajit, Bhagavanlal [Translator]",2009,Love; Sex,HQ,https://www.gutenberg.org/ebooks/27827
nonfiction\16679_The_history_of_England_from_the_accession_of_Henry.txt,nonfiction,16679,"The history of England, from the accession of Henry III. to the death of Edward III. (1216-1377)","Tout, T. F. (Thomas Frederick), 1855-1929; Hunt, William, 1842-1931 [Editor]; Poole, Reginald Lane, 1857-1939 [Editor]",2005,"Plantagenet, House of; Great Britain -- History -- Plantagenets, 1154-1399; Great Britain -- History -- 13th century; Great Britain -- History -- 14th century",DA,https://www.gutenberg.org/ebooks/16679
nonfiction\3206_Moby_Multiple_Language_Lists_of_Common_Words.txt,nonfiction,3206,Moby Multiple Language Lists of Common Words,"Ward, Grady, 1951-",2002,Words and phrase lists -- English,AG,https://www.gutenberg.org/ebooks/3206
nonfiction\7370_Second_Treatise_of_Government.txt,nonfiction,7370,Second Treatise of Government,"Locke, John, 1632-1704",2005,Political science -- Early works to 1800; Toleration -- Early works to 1800; Liberty -- Early works to 1800,JC,https://www.gutenberg.org/ebooks/7370
nonfiction\27509_The_2006_CIA_World_Factbook.txt,nonfiction,27509,The 2006 CIA World Factbook,United States. Central Intelligence Agency,2008,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,https://www.gutenberg.org/ebooks/27509
nonfiction\34901_On_Liberty.txt,nonfiction,34901,On Liberty,"Mill, John Stuart, 1806-1873",2011,Liberty,JC,https://www.gutenberg.org/ebooks/34901
nonfiction\3332_The_Variation_of_Animals_and_Plants_under_Domestic.txt,nonfiction,3332,The Variation of Animals and Plants under Domestication,"Darwin, Charles, 1809-1882",2002,"Variation (Biology); Domestic animals; Plants, Cultivated",QH,https://www.gutenberg.org/ebooks/3332
nonfiction\68348_England_under_the_Angevin_Kings_Volumes_I_and_II.txt,nonfiction,68348,"England under the Angevin Kings, Volumes I and II","Norgate, Kate, 1853-1935",2022,"England -- Civilization -- 1066-1485; Great Britain -- History -- Angevin period, 1154-1216; Anjou, House of",DA,https://www.gutenberg.org/ebooks/68348
nonfiction\57336_Ancient_Britain_and_the_Invasions_of_Julius_Caesar.txt,nonfiction,57336,Ancient Britain and the Invasions of Julius Caesar,"Holmes, T. Rice (Thomas Rice), 1855-1933",2018,"Great Britain -- History -- To 449; Romans -- Great Britain; Britons; Ethnology -- Great Britain; Great Britain -- Antiquities, Celtic; Caesar, Julius -- Military leadership; Generals -- Rome; Great Britain -- History -- Invasions",DA,https://www.gutenberg.org/ebooks/57336
nonfiction\67792_A_History_of_Magic_and_Experimental_Science_Volume.txt,nonfiction,67792,"A History of Magic and Experimental Science, Volume 1 (of 2)
During the First Thirteen Centuries of Our Era","Thorndike, Lynn, 1882-1965",2022,Science -- History; Magic -- History,Q,https://www.gutenberg.org/ebooks/67792
nonfiction\78248_Prolegomena_to_the_study_of_Greek_religion.txt,nonfiction,78248,Prolegomena to the study of Greek religion,"Harrison, Jane Ellen, 1850-1928",2026,"Mythology, Greek; Greece -- Religion; Mysteries, Religious; Rites and ceremonies -- Greece; Cults -- Greece",BL,https://www.gutenberg.org/ebooks/78248
